names,scores,logfoldchanges,pvals,pvals_adj
SPI1,-36.519527,-12.616143,5.433314087361571e-292,1.5747401846420824e-291
NFKBIA,-37.337128,-31.455576,4.1016807016497356e-305,1.2305042104949207e-304
HIF1A,-37.60966,-17.832422,1.49437609780494e-309,4.64615114044809e-309
CSTB,-37.60966,-18.920666,1.49437609780494e-309,4.64615114044809e-309
SGK1,-37.677795,-23.472267,0.0,0.0
CD14,-37.74593,-36.77059,0.0,0.0
SQSTM1,-38.018463,-17.765417,0.0,0.0
JUN,-39.38113,-44.352654,0.0,0.0
MIF,-39.99433,-29.299835,0.0,0.0
PLAUR,-40.062466,-37.46275,0.0,0.0
HSPB1,-40.403133,-41.00214,0.0,0.0
SOD2,-40.5394,-51.332355,0.0,0.0
APOE,-41.1526,-168.52788,0.0,0.0
HMOX1,-41.493267,-41.82189,0.0,0.0
PFN1,-42.038334,-24.57077,0.0,0.0
CTSD,-42.242737,-33.45085,0.0,0.0
ATP6V0C,-42.71967,-23.283506,0.0,0.0
CD68,-42.787804,-22.698816,0.0,0.0
HLA-DRB1,-43.196606,-81.29104,0.0,0.0
HLA-DRA,-43.33287,-134.5009,0.0,0.0
